Date,Startup,Industry,Location,Investor,Type,Amount,YearMonth
2021-04-01,BYJU'S,Education,Bangalore,Innoven Capital,Series F,460000000.0,2021-04
2021-04-05,Meesho,E-Commerce,Bangalore,SoftBank Vision Fund 2,Series E,300000000.0,2021-04
2021-04-14,Swiggy,Consumables,Bangalore,"Amansa Holdings, Carmignac, Falcon Edge Capital, Goldman Sachs, Think Investments",Series J,343000000.0,2021-04
2021-04-07,Groww,Finance,Bangalore,"MC Global Edtech, B Capital, Baron, others",Series D,83000000.0,2021-04
2021-04-14,Beldara,E-Commerce,Mumbai,Hindustan Media Ventures,Other,7400000.0,2021-04
2021-03-04,DealShare,E-Commerce,Jaipur,Innoven Capital,Debt,250000000.0,2021-03
2021-03-31,Uniphore,Software,Outside India,Sorenson Capital Partners,Series D,140000000.0,2021-03
2021-03-30,Dunzo,E-Commerce,Bangalore,Krishtal Advisors Pte Ltd,Series E,8000000.0,2021-03
2021-03-30,BYJU'S,Education,Bangalore,"MC Global Edtech, B Capital, Baron, others",Series F,460000000.0,2021-03
2021-03-23,SkilloVilla,Education,Bangalore,"Titan Capital, others",Seed,300000000.0,2021-03
2021-03-25,CityMall,E-Commerce,Gurgaon,Accel Partners,Series A,11000000.0,2021-03
2021-03-26,DotPe,Finance,Gurgaon,PayU,Series A,27500000.0,2021-03
2021-02-11,Doubtnut,Education,Gurgaon,"SIG Global, Sequoia Capital, WaterBridge Ventures and ON Mauritius",Series B,2500000.0,2021-02
2021-02-22,Zomato,Healthcare & Hospitality,Gurgaon,"Tiger Global, Kora",Other,250000000.0,2021-02
2021-02-19,Fingerlix,Healthcare & Hospitality,Mumbai,"Rhodium Trust, Accel Partners and Swiggy",Series C,2747045.2,2021-02
2021-02-17,Zolve,Finance,Mumbai,Accel Partners and Lightspeed Venture Partners,Seed,15000000.0,2021-02
2021-02-15,KreditBee,Finance,Bangalore,Azim Premji’s PremjiInvest and South Korea’s Mirae Asset Venture,Series C,75000000.0,2021-02
2021-02-12,Pepperfry,E-Commerce,Mumbai,InnoVen Capital,Debt,4773958.0,2021-02
2021-02-12,Grofers,E-Commerce,Gurgaon,SoftBank Vision Fund (SVF),Other,55000000.0,2021-02
2021-02-09,Nothing,Software,Outside India,GV,Series A,15000000.0,2021-02
2021-02-09,SplashLearn,Education,Gurgaon,Owl Ventures,Series C,18000000.0,2021-02
2021-01-15,Digit Insurance,Finance,Bangalore,"A91 Partners, Faering Capital, TVS Capital Funds",Other,18000000.0,2021-01
2021-01-28,Bombay Shaving Company,Consumables,Delhi,Reckitt Benckiser,Other,6172258.5,2021-01
2021-01-19,DeHaat,Agriculture,Patna,Prosus Ventures,Series C,30000000.0,2021-01
2021-01-19,Darwinbox,Software,Mumbai,Salesforce Ventures,Seed,15000000.0,2021-01
2021-01-18,mfine,Healthcare & Hospitality,Bangalore,Heritas Capital Management,Other,16000000.0,2021-01
2021-01-18,Udayy,Education,Gurgaon,Sequoia Capital ,Seed,15000000.0,2021-01
2021-01-11,True Elements,Consumables,Pune,SIDBI Venture Capital,Other,100000000.0,2021-01
2021-01-13,Saveo,E-Commerce,Bangalore,"Matrix Partners India, RTP Global, others",Seed,4000000.0,2021-01
2020-12-15,Bira 91,Consumables,Delhi,"Nishant Mittal, Pankaj Chaddah and Shikha Sunil Chandak",Other,1273634.07,2020-12
2020-12-15,Zenoti,Software,Outside India,Advent International,Series D,160000000.0,2020-12
2020-12-22,Tax Buddy India,Finance,Mumbai,Zenith Global,Seed,1000000.0,2020-12
2020-12-15,Delhivery,Logistics,Gurgaon,Steadview Capital ,Secondary Market,25000000.0,2020-12
2020-12-18,PagarBook,Software,Bangalore,Sequoia Capital ,Series A,15000000.0,2020-12
2020-11-30,Codingal,Education,Bangalore,"Rebright Partners, Java Capital, and GSF Accelerator",Seed,560000.0,2020-11
2020-11-30,CRED,Finance,Bangalore,DST Global,Series C,80000000.0,2020-11
2020-11-29,Bira 91,Consumables,Delhi,"Sofina, Sequoia Capital, Sixth Sense Ventures, Neoplux",Bridge,3000000.0,2020-11
2020-11-27,Chumbak,Lifestyle & Fashion,Bangalore,Gaja Capital Fund (GCFII-A),Series D,1001047.92,2020-11
2020-11-25,Cityflo,Logistics,Mumbai,Lightbox Ventures,Series A,7700000.0,2020-11
2020-11-25,Shipsy,Software,Gurgaon,"Sequoia Capital India’s Surge, Info Edge",Series A,6003806.0,2020-11
2020-11-25,Unacademy,Education,Bangalore,"Tiger Global Management, Dragoneer Investment Group",Other,100000000.0,2020-11
2020-11-24,Cashfree,Finance,Bangalore,"Matrix Partners India, SAIF Partners, Ward Ferry Management and Bertelsmann India",Series B,35300000.0,2020-11
2020-11-30,Credgenics,Finance,Gurgaon,"Venture Capital firm, Accel Partners and DMI Finance",Seed,3500000.0,2020-11
2020-11-23,Country Delight,Consumables,Gurgaon,Elevation Capital,Series C,25000000.0,2020-11
2020-10-28,Betterplace,Software,Bangalore,Jungle Ventures,Series B,10000000.0,2020-10
2020-10-28,FlexiLoans,Finance,Mumbai,Falguni and Sanjay Nayar Family Office,Equity and Debt,20160000.0,2020-10
2020-10-27,GetVantage,Finance,Mumbai,"Chiratae Ventures, Dream Incubators",Seed,5000000.0,2020-10
