YearMonth,Amount
2018-01,141600000.0
2018-02,77372000.0
2018-03,953839000.0
2018-04,53643000.0
2018-05,640800000.0
2018-06,566300000.0
2018-07,184000000.0
2018-08,330300000.0
2018-09,22160000.0
2018-10,57748000.0
2018-11,196000000.0
2018-12,231740000.0
2019-01,392905000.0
2019-02,656500000.0
2019-03,72389975.53999999
2019-04,680200000.0
2019-05,55500000.0
2019-06,166717134.68
2019-08,229903605.0
2019-09,1000000.0
2019-10,199682180.0
2019-11,139800000.0
2019-12,149500000.0
2020-02,31300000.0
2020-03,23575020.0
2020-04,47880000.0
2020-05,10000000.0
2020-06,55000000.0
2020-07,137100000.0
2020-08,509800000.0
2020-09,236188860.0
2020-10,501144200.0
2020-11,57700000.0
2020-12,29700000.0
2021-01,460000000.0
2021-04,250000000.0
2021-05,300000000.0
2021-07,83000000.0
2021-09,33000000.0
2021-11,102500000.0
2021-12,59773958.0
