Date,Startup,Industry,Location,Investor,Type,Amount,YearMonth
2021-01-04,BYJU'S,Education,Bangalore,Innoven Capital,Series F,460000000.0,2021-01
2021-05-04,Meesho,E-Commerce,Bangalore,SoftBank Vision Fund 2,Series E,300000000.0,2021-05
2021-07-04,Groww,Finance,Bangalore,"MC Global Edtech, B Capital, Baron, others",Series D,83000000.0,2021-07
2021-04-03,DealShare,E-Commerce,Jaipur,Innoven Capital,Debt,250000000.0,2021-04
2021-11-02,Doubtnut,Education,Gurgaon,"SIG Global, Sequoia Capital, WaterBridge Ventures and ON Mauritius",Series B,2500000.0,2021-11
2021-12-02,Pepperfry,E-Commerce,Mumbai,InnoVen Capital,Debt,4773958.0,2021-12
2021-12-02,Grofers,E-Commerce,Gurgaon,SoftBank Vision Fund (SVF),Other,55000000.0,2021-12
2021-09-02,Nothing,Software,Outside India,GV,Series A,15000000.0,2021-09
2021-09-02,SplashLearn,Education,Gurgaon,Owl Ventures,Series C,18000000.0,2021-09
2021-11-01,True Elements,Consumables,Pune,SIDBI Venture Capital,Other,100000000.0,2021-11
2020-04-08,InVideo,Software,Bangalore,Sequoia India,Series A,15000000.0,2020-04
2020-08-09,BYJU'S,Education,Bangalore,"Silver Lake, Tiger Global, General Atlantic and Owl Ventures
",Other,500000000.0,2020-08
2020-12-09,mCaffeine,Lifestyle & Fashion,Mumbai,"Amicus Capital Private Equity I LLP, Amicus Capital Partners India Fund I and RP-SG Venture Fund 1",Series B,3000000.0,2020-12
2020-09-09,Qshala,Education,Bangalore,Rainmatter Capital,Seed,370000.0,2020-09
2020-02-09,Winzo,Gaming & Entertainment,Delhi,"Kalaari Capital Partners, IndigoEdge Management Consultancy",Series B,15500000.0,2020-02
2020-09-09,Hippo Video,Gaming & Entertainment,Outside India,"Alpha Wave Incubation, Exfinity Venture Partners and existing backers. 
",Series A,4500000.0,2020-09
2020-07-09,Melorra,E-Commerce,Bangalore,"Shadow Holdings, Lightbox.",Debt,8900000.0,2020-07
2020-07-09,1mg,E-Commerce,Gurgaon,"Gaja Capital, Tata Capital, Partners Group",Other,100000000.0,2020-07
2020-03-09,Railofy,Logistics,Mumbai,Chiratae Ventures,Seed,950000.0,2020-03
2020-04-08,Dunzo,Logistics,Bangalore,Existing Backers,Other,30000000.0,2020-04
2020-11-08,Terra.do,Education,Outside India,"Stanford Angels and Entrepreneurs (India), BEENEXT Emerging Asia, Rainmatter Capital

",Seed,1400000.0,2020-11
2020-12-08,Classplus,Education,Noida,Falcon Edge,Other,15000000.0,2020-12
2020-10-08,ZestMoney,Finance,Bangalore,Primrose Hills Ventures,Other,10670000.0,2020-10
2020-07-08,FreshToHome,E-Commerce,Bangalore,Ascent Capital,Other,16200000.0,2020-07
2020-04-08,DrinkPrime,Consumables,Bangalore,"Sequoia Surge, ON Mauritius",Seed,2880000.0,2020-04
2020-09-07,JetSynthesys,Gaming & Entertainment,Pune,"Adar Poonawalla and Kris Gopalakrishnan.
",Other,400000.0,2020-09
2020-10-07,"gigIndia
",E-Commerce,Pune,Incubate Fund India and Beyond Next Ventures,Seed,974200.0,2020-10
2020-10-06,WayCool Foods,Agriculture,Chennai,Indusland Bank,Series C,5500000.0,2020-10
2020-11-06,Myelin Foundry,Cutting Edge Tech,Bangalore,"Kris Gopalakrishnan’s family office — Pratithi.
",Seed,1000000.0,2020-11
2020-10-06,Hapramp,Cutting Edge Tech,Gurgaon,Anand Mahindra,Seed,1000000.0,2020-10
2020-05-05,"Classplus

",Education,Noida,"RTP Global, lume Ventures, Sequoia Capital India's Surge, Spiral Ventures, and Strive.",Series A,9000000.0,2020-05
2020-11-05,Nykaa,E-Commerce,Mumbai,Steadview Capital,Series F,8800000.0,2020-11
2020-09-04,Vedantu,Education,Bangalore,Legend Capital,Series C,12560000.0,2020-09
2020-06-04,Swiggy,Consumables,Bangalore,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, and Mirae Asset Capital Markets
",Series A,43000000.0,2020-06
2020-08-04,"Zupee
",Gaming & Entertainment,Gurgaon,"Matrix Partners India, Falcon Edge Capital, WestCap Group, Orios Venture Partners and Smile Group

",Series A,8000000.0,2020-08
2020-07-04,DeHaat,Agriculture,Patna,"Sequoia Capital India, FMO, Omnivore and AgFunder.",Series A,12000000.0,2020-07
2020-08-04,Fingerlix,Consumables,Mumbai,"Accel, Zephyr Peacock, Swiggy, and RB Investments
",Series C,1800000.0,2020-08
2020-02-04,Recko,Finance,Bangalore,Vertex Ventures Southeast Asia and India and Prime Venture Partners,Series A,6000000.0,2020-02
2020-02-03,Chqbook.com,Finance,Gurgaon,Aavishkaar Capital,Series A,5000000.0,2020-02
2020-06-03,"Paperboat
",E-Commerce,Bangalore,"Advent Management, A91 Emerging Fund, and Trifecta Venture.

",Debt,4000000.0,2020-06
2020-12-03,"FamPay
",Finance,Bangalore,"Y Combinator, Venture Highway, Sequoia India, and GFC (Global Founders Capital). ",Seed,4700000.0,2020-12
2020-12-03,MultiLiving,Real Estate,Mumbai,Lodha Ventures,Series A,6000000.0,2020-12
2020-12-03,"Ola Electric
",Logistics,Bangalore,Pawan Munjal Family Trust,Series B,1000000.0,2020-12
2020-03-02,1mg,E-Commerce,Gurgaon,Bill & Melinda Gates Foundation ,Other,10000000.0,2020-03
